"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Jaylen Brown","BOS",63,2158,3.713041485216594,2.4066009626403853,1.306440522576209,0.6481481481481481,1.37520055008022,0.3208801283520513,1.031400412560165,0.275040110016044,0.11460004584001833,0.022920009168003668,0.022920009168003668,0
"Tim Hardaway Jr.","DET",77,2153,1.0825439783491204,0.7668019846639603,0.31574199368516015,0.7083333333333334,0.2480829950383401,0.04510599909788002,0.5187189896256202,0.09021199819576003,0.04510599909788002,0,0.02255299954894001,0
"Bennedict Mathurin","IND",72,2149,3.0412255012390177,1.9148456859653076,1.1263798152737103,0.6296296296296297,0.9686866411353908,0.2928587519711647,0.9461590448299166,0.18022077044379364,0.11263798152737103,0,0.04505519261094841,0
"Spencer Dinwiddie","DAL",79,2136,2.314499659632403,1.2707056954844564,1.0437939641479463,0.5490196078431373,0.27229407760381213,0.06807351940095303,0.9984116178806445,0.5445881552076243,0.09076469253460404,0,0.02269117313365101,0
"Scottie Barnes","TOR",65,2134,4.177958446251129,2.822944896115628,1.3550135501355014,0.6756756756756757,0.8581752484191508,0.27100271002710025,1.9647696476964769,0.4968383017163505,0.15808491418247517,0,0,0
"Max Christie","DAL",78,2127,2.034211742949607,1.410078594544614,0.624133148404993,0.6931818181818182,0.6934812760055479,0.09246417013407304,0.7165973185390662,0.32362459546925565,0.06934812760055478,0,0.02311604253351826,0
"Josh Giddey","CHI",70,2117,4.488888888888889,2.933333333333333,1.5555555555555556,0.6534653465346535,0.7555555555555555,0.2222222222222222,2.1777777777777776,0.9333333333333333,0.08888888888888889,0,0.13333333333333333,0.022222222222222223
"Fred VanVleet","HOU",60,2113,2.0485048269366612,1.2714857546503415,0.7770190722863197,0.6206896551724138,0.3060984224158229,0.1177301624676242,0.9653873322345184,0.37673651989639745,0,0,0.02354603249352484,0
"Keyonte George","UTA",67,2108,4.184770180654013,2.7898467871026753,1.3949233935513377,0.6666666666666666,0.8689686713926367,0.3201463526183398,1.920878115710039,0.48021952892750974,0.1143379830779785,0,0.228675966155957,0.0228675966155957
"Dennis Schröder","BKN",75,2106,3.316982013548236,2.1490306003270265,1.16795141322121,0.647887323943662,0.700770847932726,0.2102312543798178,1.4482597523943004,0.5138986218173324,0.0700770847932726,0,0.023359028264424198,0
"Damian Lillard","MIL",58,2093,3.736162361623616,2.7675276752767526,0.9686346863468634,0.7407407407407407,0.8071955719557196,0.13837638376383765,1.9603321033210332,0.6457564575645757,0.06918819188191883,0,0.06918819188191883,0
"Russell Westbrook","DEN",75,2092,5.5150410209662715,3.5779398359161347,1.9371011850501367,0.6487603305785123,0.7976298997265269,0.3646308113035551,2.780309936189608,1.0027347310847767,0.11394712853236098,0,0.022789425706472195,0.022789425706472195
"Kelly Oubre Jr.","PHI",60,2078,1.90976366674624,1.2652184292193842,0.644545237526856,0.6625,0.668417283361184,0.214848412508952,0.5968011458582001,0.07161613750298401,0.047744091668656,0,0.047744091668656,0
"Luguentz Dort","OKC",71,2073,1.180009254974549,0.4858861638130495,0.6941230911614993,0.4117647058823529,0.11568718186024989,0.18509949097639983,0.37019898195279966,0.13882461823229986,0.04627487274409996,0,0.04627487274409996,0
"Nickeil Alexander-Walker","MIN",82,2073,2.3638968481375358,1.504297994269341,0.8595988538681948,0.6363636363636364,0.28653295128939826,0.11938872970391595,1.2177650429799427,0.45367717287488063,0.11938872970391595,0,0,0
"Onyeka Okongwu","ATL",74,2064,2.0422055820285907,1.1799410029498525,0.8622645790787383,0.5777777777777777,0.43113228953936916,0.09076469253460404,0.7488087134104833,0.13614703880190607,0.06807351940095303,0.02269117313365101,0.06807351940095303,0.06807351940095303
"Malik Monk","SAC",65,2054,3.732394366197183,2.6291079812206575,1.1032863849765258,0.7044025157232704,0.8215962441314554,0.18779342723004694,1.807511737089202,0.539906103286385,0.11737089201877934,0,0,0
"Jaylen Wells","MEM",79,2043,1.582931865106676,0.9176416609314063,0.6652902041752695,0.5797101449275363,0.45882083046570316,0.22941041523285158,0.45882083046570316,0.11470520761642579,0.13764624913971094,0.022941041523285157,0.06882312456985547,0.022941041523285157
